ArraySize,Cutoff,Threads,AvgTime(ms),cutoff/size
125000,250,2,8,0.00200
125000,500,2,5,0.00400
125000,1000,2,5,0.00800
125000,2000,2,7,0.01600
125000,4000,2,4,0.03200
125000,8000,2,3,0.06400
125000,16000,2,3,0.12800
125000,32000,2,2,0.25600
125000,64000,2,3,0.51200
125000,128000,2,5,1.02400
125000,256000,2,5,2.04800
125000,512000,2,5,4.09600
125000,250,4,3,0.00200
125000,500,4,3,0.00400
125000,1000,4,3,0.00800
125000,2000,4,3,0.01600
125000,4000,4,2,0.03200
125000,8000,4,2,0.06400
125000,16000,4,1,0.12800
125000,32000,4,1,0.25600
125000,64000,4,2,0.51200
125000,128000,4,5,1.02400
125000,256000,4,4,2.04800
125000,512000,4,5,4.09600
125000,250,8,3,0.00200
125000,500,8,3,0.00400
125000,1000,8,3,0.00800
125000,2000,8,2,0.01600
125000,4000,8,2,0.03200
125000,8000,8,2,0.06400
125000,16000,8,2,0.12800
125000,32000,8,2,0.25600
125000,64000,8,2,0.51200
125000,128000,8,5,1.02400
125000,256000,8,4,2.04800
125000,512000,8,5,4.09600
125000,250,16,4,0.00200
125000,500,16,3,0.00400
125000,1000,16,2,0.00800
125000,2000,16,2,0.01600
125000,4000,16,2,0.03200
125000,8000,16,2,0.06400
125000,16000,16,1,0.12800
125000,32000,16,1,0.25600
125000,64000,16,2,0.51200
125000,128000,16,4,1.02400
125000,256000,16,5,2.04800
125000,512000,16,4,4.09600
125000,250,32,3,0.00200
125000,500,32,3,0.00400
125000,1000,32,3,0.00800
125000,2000,32,3,0.01600
125000,4000,32,2,0.03200
125000,8000,32,2,0.06400
125000,16000,32,1,0.12800
125000,32000,32,1,0.25600
125000,64000,32,2,0.51200
125000,128000,32,4,1.02400
125000,256000,32,4,2.04800
125000,512000,32,5,4.09600
125000,250,64,4,0.00200
125000,500,64,3,0.00400
125000,1000,64,3,0.00800
125000,2000,64,2,0.01600
125000,4000,64,2,0.03200
125000,8000,64,2,0.06400
125000,16000,64,2,0.12800
125000,32000,64,2,0.25600
125000,64000,64,2,0.51200
125000,128000,64,4,1.02400
125000,256000,64,5,2.04800
125000,512000,64,4,4.09600
250000,250,2,8,0.00100
250000,500,2,7,0.00200
250000,1000,2,7,0.00400
250000,2000,2,6,0.00800
250000,4000,2,5,0.01600
250000,8000,2,5,0.03200
250000,16000,2,4,0.06400
250000,32000,2,4,0.12800
250000,64000,2,4,0.25600
250000,128000,2,6,0.51200
250000,256000,2,10,1.02400
250000,512000,2,10,2.04800
250000,250,4,9,0.00100
250000,500,4,8,0.00200
250000,1000,4,7,0.00400
250000,2000,4,6,0.00800
250000,4000,4,6,0.01600
250000,8000,4,5,0.03200
250000,16000,4,4,0.06400
250000,32000,4,3,0.12800
250000,64000,4,4,0.25600
250000,128000,4,6,0.51200
250000,256000,4,10,1.02400
250000,512000,4,10,2.04800
250000,250,8,7,0.00100
250000,500,8,7,0.00200
250000,1000,8,6,0.00400
250000,2000,8,6,0.00800
250000,4000,8,5,0.01600
250000,8000,8,5,0.03200
250000,16000,8,4,0.06400
250000,32000,8,3,0.12800
250000,64000,8,4,0.25600
250000,128000,8,6,0.51200
250000,256000,8,10,1.02400
250000,512000,8,10,2.04800
250000,250,16,8,0.00100
250000,500,16,7,0.00200
250000,1000,16,7,0.00400
250000,2000,16,6,0.00800
250000,4000,16,5,0.01600
250000,8000,16,4,0.03200
250000,16000,16,4,0.06400
250000,32000,16,3,0.12800
250000,64000,16,4,0.25600
250000,128000,16,6,0.51200
250000,256000,16,10,1.02400
250000,512000,16,10,2.04800
250000,250,32,8,0.00100
250000,500,32,7,0.00200
250000,1000,32,7,0.00400
250000,2000,32,5,0.00800
250000,4000,32,5,0.01600
250000,8000,32,4,0.03200
250000,16000,32,4,0.06400
250000,32000,32,3,0.12800
250000,64000,32,3,0.25600
250000,128000,32,6,0.51200
250000,256000,32,10,1.02400
250000,512000,32,10,2.04800
250000,250,64,8,0.00100
250000,500,64,7,0.00200
250000,1000,64,6,0.00400
250000,2000,64,6,0.00800
250000,4000,64,5,0.01600
250000,8000,64,5,0.03200
250000,16000,64,4,0.06400
250000,32000,64,3,0.12800
250000,64000,64,3,0.25600
250000,128000,64,5,0.51200
250000,256000,64,10,1.02400
250000,512000,64,10,2.04800
500000,250,2,19,0.00050
500000,500,2,16,0.00100
500000,1000,2,14,0.00200
500000,2000,2,15,0.00400
500000,4000,2,13,0.00800
500000,8000,2,11,0.01600
500000,16000,2,10,0.03200
500000,32000,2,9,0.06400
500000,64000,2,7,0.12800
500000,128000,2,8,0.25600
500000,256000,2,12,0.51200
500000,512000,2,22,1.02400
500000,250,4,15,0.00050
500000,500,4,16,0.00100
500000,1000,4,14,0.00200
500000,2000,4,14,0.00400
500000,4000,4,13,0.00800
500000,8000,4,11,0.01600
500000,16000,4,9,0.03200
500000,32000,4,9,0.06400
500000,64000,4,7,0.12800
500000,128000,4,8,0.25600
500000,256000,4,12,0.51200
500000,512000,4,22,1.02400
500000,250,8,17,0.00050
500000,500,8,16,0.00100
500000,1000,8,15,0.00200
500000,2000,8,13,0.00400
500000,4000,8,13,0.00800
500000,8000,8,12,0.01600
500000,16000,8,10,0.03200
500000,32000,8,9,0.06400
500000,64000,8,7,0.12800
500000,128000,8,8,0.25600
500000,256000,8,12,0.51200
500000,512000,8,22,1.02400
500000,250,16,18,0.00050
500000,500,16,18,0.00100
500000,1000,16,16,0.00200
500000,2000,16,13,0.00400
500000,4000,16,12,0.00800
500000,8000,16,11,0.01600
500000,16000,16,10,0.03200
500000,32000,16,9,0.06400
500000,64000,16,7,0.12800
500000,128000,16,8,0.25600
500000,256000,16,12,0.51200
500000,512000,16,22,1.02400
500000,250,32,20,0.00050
500000,500,32,19,0.00100
500000,1000,32,16,0.00200
500000,2000,32,14,0.00400
500000,4000,32,11,0.00800
500000,8000,32,11,0.01600
500000,16000,32,9,0.03200
500000,32000,32,9,0.06400
500000,64000,32,7,0.12800
500000,128000,32,8,0.25600
500000,256000,32,13,0.51200
500000,512000,32,22,1.02400
500000,250,64,19,0.00050
500000,500,64,17,0.00100
500000,1000,64,16,0.00200
500000,2000,64,15,0.00400
500000,4000,64,12,0.00800
500000,8000,64,10,0.01600
500000,16000,64,10,0.03200
500000,32000,64,9,0.06400
500000,64000,64,8,0.12800
500000,128000,64,8,0.25600
500000,256000,64,13,0.51200
500000,512000,64,22,1.02400
1000000,250,2,43,0.00025
1000000,500,2,38,0.00050
1000000,1000,2,36,0.00100
1000000,2000,2,33,0.00200
1000000,4000,2,29,0.00400
1000000,8000,2,26,0.00800
1000000,16000,2,24,0.01600
1000000,32000,2,21,0.03200
1000000,64000,2,19,0.06400
1000000,128000,2,16,0.12800
1000000,256000,2,16,0.25600
1000000,512000,2,26,0.51200
1000000,250,4,44,0.00025
1000000,500,4,40,0.00050
1000000,1000,4,37,0.00100
1000000,2000,4,32,0.00200
1000000,4000,4,29,0.00400
1000000,8000,4,27,0.00800
1000000,16000,4,23,0.01600
1000000,32000,4,21,0.03200
1000000,64000,4,18,0.06400
1000000,128000,4,16,0.12800
1000000,256000,4,16,0.25600
1000000,512000,4,26,0.51200
1000000,250,8,41,0.00025
1000000,500,8,40,0.00050
1000000,1000,8,37,0.00100
1000000,2000,8,33,0.00200
1000000,4000,8,30,0.00400
1000000,8000,8,25,0.00800
1000000,16000,8,23,0.01600
1000000,32000,8,20,0.03200
1000000,64000,8,19,0.06400
1000000,128000,8,16,0.12800
1000000,256000,8,16,0.25600
1000000,512000,8,26,0.51200
1000000,250,16,44,0.00025
1000000,500,16,38,0.00050
1000000,1000,16,37,0.00100
1000000,2000,16,32,0.00200
1000000,4000,16,29,0.00400
1000000,8000,16,28,0.00800
1000000,16000,16,24,0.01600
1000000,32000,16,20,0.03200
1000000,64000,16,18,0.06400
1000000,128000,16,17,0.12800
1000000,256000,16,16,0.25600
1000000,512000,16,26,0.51200
1000000,250,32,44,0.00025
1000000,500,32,41,0.00050
1000000,1000,32,36,0.00100
1000000,2000,32,32,0.00200
1000000,4000,32,31,0.00400
1000000,8000,32,28,0.00800
1000000,16000,32,24,0.01600
1000000,32000,32,20,0.03200
1000000,64000,32,18,0.06400
1000000,128000,32,15,0.12800
1000000,256000,32,17,0.25600
1000000,512000,32,26,0.51200
1000000,250,64,42,0.00025
1000000,500,64,38,0.00050
1000000,1000,64,36,0.00100
1000000,2000,64,32,0.00200
1000000,4000,64,28,0.00400
